Type,Description,Community,List Price,Sold Price,Taxes,Street Name,St#,Bedroom,BedPlus,Baths,Front,Parking Drive Spaces,Depth,Garage Type,Pool,Remarks For Brokers,Remarks For Clients,Extras,Basement1,Basement2
Detached,2-Storey,Amberlea,"$749,990","$755,000","$5,441",Ada,1730,3,1,3,45,3,111,Attached,Inground,"Show And Sell Home! Lock Box For Easy Access, Toll Free 1-888-820-0228, Include Schedule B To All Offers. Please Allow 24 Hours On Irr. Date.","Award Winning Landscape Designer. Salt Water Inground Pool With Custom Outdoor Kitchen 42"" Twin Eagles Bbq , Flagstone Pool Deck, Chef's Kitchen & Maple Hardwood Floors With Sunken Living Room, Gas Fireplace, Pot Lights, Crown Moulding. Jennair Gas Stove Dishwasher, Washer, Dryer, Garbourator, Gb&E, Cvac, Cac. Loads Of Upgrades! Backyard Is An Oasis!","Finished Basement In 2015, New Front Deck In 2017, New High Efficiency Furnace And Ac In 2017, R50 Insulation In Attic 2014, - New Pool Pump In 2017, Professionally Painted On Every Level, Upgraded Lighting Throughout The House.",Finished,Full
Detached,2-Storey,Amberlea,"$1,488,888","$1,402,000","$11,696",Altona,1888,4,,3,115,50,0,Attached,None,"All Offers Can Be Emailed To Jplevon@Remax.Net. Buyers Verify All Measurements And Do There Due Diligence With Permits And Intended Use Of The Property. Sch B, Form 801 & Buyer's Mortgage Pre-Approval To Accompany All Offers. Thanks","Mechanic's Dream! Established Business Since 1958! 2 Bay With Hoist 1 With A Pit.2 Washrooms And Office On The Main Level.Lg Body Shop With Bear Straightening Frame Rack. Paint Spray Booth With Exhuast Fan. Living Quarters Above 4 Bed 1 Bath.Wood Stove In Kitchen,Hardwood Floors. Great Rental Income $$$ Live Where You Work Or Rent The Upper Level For Big$ Zoned Multi Residential. Grand Fathered Commercial.",Garage Doors Are 10 Feet High Garage Is 26 X 32 Buyers Verify All Measurements And Do There Due Diligence With Permits And Intended Use Of The Property.,Unfinished,
Detached,2-Storey,Amberlea,"$799,900","$790,000","$5,063",Amberlea,1578,4,2,4,30,2,121,Attached,None,Email Offers To Andyryanrealestate@Gmail.Com As Per Seller's Request. Attach Sch.B & Certify Deposit Chq Please. Existing Survey Attached. Offers Anytime..Thanks!,"Don't Miss This 4+2 Bedroom, 2 Story, Brick Home In The Demand Neighbourhood Of Amberlea. What A Great Entertainers Home, Or A House To Just Relax In. Walk-In From A Large 2 Car Garage To An Open Foyer. Step Into An Updated Eat-In Kitchen With Granite Counters, S/S Appliances, & A Walkout To Large Backyard. Your Family Can Relax On All 3 Floors With Finished Basement, Large Living Room, And Larger 2nd Story Family Room. Too Much To List. What A Great Home!","S/S: Fridge/Stove/Dishwasher/Micro; Washer; Dryer; All Elfs; All Window Coverings; Gb&E; Cvac& Equip; Hot Water Is Rental. Close To Great Schools, Shopping, Banks, Parks, Transit, Go, The 401 And 407.",Finished,Sep Entrance
Semi-Detach...,2-Storey,Amberlea,"$619,900","$610,000","$4,135",Arcadia,1571,3,,3,31,4,79,Attached,None,"Please Email All Offers To Rcrevelle@Rogers.Com With 24 Hour Irrevocable,Please Attach Schedule B And Form 801 . Buyer/Buyer's Agent To Verify Taxes And All Measurements","Location,Location,Location, Absolutely Gorgeous Renovated Spacious Semi Detached In Desirable Amberlea Area,West Pickering,New Floors, Roof Reshingled November 2017,Freshly Painted,Etc Lots Of Natural Light,Formal Living Room & Dining Room,Family Size Kitchen With Breakfast Area Has Walk Out To Patio And A Fully Fenced Large Backyard,Upper Level Family Room,Master Bedroom Has Full Ensuite,Close To Shopping,Schools,Transit,Go Station,401 Etc","Fridge,Stove,Dishwasher,Washer,Dryer,Garage Door Opener,, Electric Light Fixtures",Unfinished,
Semi-Detach...,2-Storey,Amberlea,"$619,500","$605,000","$4,035",Arcadia,1642,3,,3,0,2,0,Built-In,None,"***2.75% *** To Co-Broker, Email Offers To Leslieprentice@Sympatico.Ca, Call Office To Register, Attach Schedule B And 801 To Offer, 24 Hours Irrevocable, Prefer Quick Closing, Thanks For Showing!","Home For The Holidays! Demand Amberlea Neighbourhood *1758 Sq.Ft Immpeccably Kept Home* Original Owners *Formal Living And Dining/Hardwood Floors *Upper Level Family Room Could Convert To 4th Bedroom * Eat-In Kitchen Overlooks And Walks Out To Fully Fenced Landscaped Yard With No Neighbours Behhind *Light Bright Sun Filled Home In A Family Friendly Community * Steps To Public And Catholic Schools, Shopping, Public Transit *Mins To 401","Gas Burner And Equipment, Central Air Conditioner, All Light Fixtures/Ceiling Fans, All Window Coverings/Blinds/Rods, Fridge, Stove, Built-In Dishwasher, Washer, Dryer, Garden Shed, Perennial Gardens, Wrought Iron Front Fencing,",Full,
Detached,2-Storey,Amberlea,"$849,777","$832,500","$5,664",Boyne,1509,4,,4,44,4,151,Attached,Inground,"Beautiful, Updated Home With Pool On A Great Court Location In A Desired Amberlea Neighbourhood. Flex Closing Is Available. Please Attach Sch B & Form 801. Pls Certify Deposit Cheque. Hwt Rental $20.98. Please Email Offers To Mwsold@Sympatico.Ca. Thanks.","Fabulous Updated Family Home On A Deep 150' Lot With Heated Inground Pool, On Child Friendly Court In Desired Amberlea. Updates Include Kit, All Bathrooms, Shingles, Furnace, Most Windows, A/C. Carpet Upstairs & Freshly Painted (17). Pool Liner, Pump & Heater All Recently Replaced. Eatin Kit, S/S Appls, O/L Fam Room With Fireplace. Pool Area Is Fenced Great For Kids And Entertaining. Walk To Schools, Shopping & Easy Access To 401. This Street Rarely Offered.","Ss Gas Stove, Fridge, Built-In Dw, Washer, Dryer, Freezer In Garage Cac, All Elf's, Blinds & Window Coverings. Inground Heated Pool & Equipment. Pool Shed, Gdo, Garage Access. Parking For 4 Plus Cars Exclude: Tv & Bracket In Master Bedroom.",Finished,
Detached,2-Storey,Amberlea,"$689,000","$677,000","$4,797",Cricket,1866,3,,3,35,2,110,Attached,None,"*** Open House For Sun. Jan. 28th Has Been Cancelled*** Seller Is Also The Listing Agent. Easy To Show. Include Form 801, Form 160, And Schedule B With Offer. Thanks For Showing!","Popular Amberlea Area In Pickering! Quick Easy Access To 401 & 407. Updated Eat-In Kitchen With Stainless Steel Appliances, New Cabinets, Quartz Countertop, Huge Tub Sink, Very Large Master Bedroom With Wall-To-Wall Closet, 4Pc Ensuite, Beautiful Backyard With Large Deck, Interlock Front Walkway, Double Driveway, Hardwood Floors Throughout, All New Elfs, Freshly Painted, Flat Ceilings, Windows Updated Throughout, Newer Furnace/Roof. Just Move In!","Fridge, Stove, Over The Range Microwave, B/I Dishwasher, Washer, Dryer, Elfs, All Window Coverings, Storage Shed",Finished,
Semi-Detach...,2-Storey,Amberlea,"$629,900","$639,000","$3,012",Cricket,1852,4,1,3,34,2,111,Attached,None,"Attach Form 801 And Schedule B With All Offers. Buyer/Buyer Agent To Verify All Measurements/Taxes. Offers Accepted On Monday December 4th, 2017.","Location! Location! A Beautiful Semi-Detached House In The Amberlea Area. Well Maintained, Freshly Painted, Recently Upgraded Kitchen With Extra Storage, Hard Wood Floor Through Out The House (2015), Upgraded Washroom, Large Principle Rooms, Fabulous Deck, Cozy Wood Burning Fireplace.Ideal For First Time Buyer!","Fridge, Stove, Dishwasher, Washer, Dryer, Garage Door Opener.",Finished,
Link,2-Storey,Amberlea,"$688,800","$725,000","$4,812",Edgewood,743,3,1,4,42,2,143,Attached,None,"Lots Of Extra Features, Attach Sch B & 801 To Offers. Deposit To Be Certified Or Bank Draft. Please See Virtual Tour For More Details. Easy To Show With Lock Box. Attach Disclosure. Offers Held Until Wednesday Feb 21st, Please Register By 5Pm.","Desirable Amberlea Location! 100K Spent In Upgrades In Newly Refinished Hardwood Throughout, Custom Hardwood Staircase, New Open Concept Schuler All Wood Kitchen Open To Dining, Living & Den With W/O To Deck. Extra Deep Lot Backing Onto Quiet Cul De Sac. Wood Burning Fireplace In Den, Crown Moulding Throughout. Upgraded Doors & Hardware Throughout, Newer Carpet In Basement With Faux Fireplace. Upgraded Elf's Throughout. Jacuzzi Tub.","Washer, Dryer, Gas Stove, Fridge In Kitchen & Garage, Central Vac, Pot Lights, Crown Moulding, Garage Remote, All Elf's, Water Softener, Outdoor Gazebo, All Bookcases, Basement Sofa.",Finished,
Detached,2-Storey,Amberlea,"$849,000","$843,000","$6,387",Garland,1566,4,,4,36,2,117,Attached,None,"Mere Posting. Sellers Represent Themselves. Contact Seller 855-742-4539 For All Appts. Co-Op Comm Paid Direct By Seller - Use Form 202 & Present Offer To Seller. Listing Brkg Only Responsible To Pay $1. Deposits Never Held By Lb. Aps, Amends & Waivers Sent To Lb To Report Sale.","For More Property Info And Photos Click Go To Listing Link. On Mobile Website Click Realtor Website Link. On Mobile Apps Click Multimedia Icon. Stunning Home W/ Quality Finishes & Upgrades. Updated Kitchen W S.S. Appliances, Gran Counter, Brkfstbar & W/O To Bkyd. 2nd Lvl Master Bdrm W/ Updated 5-Pc Ensuite. New Broadloom In Bdrms & 3 W W/I Closets. Finished Bsmt W Rec Rm, Bar & 2-Pc Bath. New Roof (2017) Over 4000 Sq. Ft. Total Living Space",,Finished,Full
